"id","time","topic","payload"
"271156995","2024-12-19 19:22:57","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:22:57Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;991;7.47;72.22"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-77,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156921","2024-12-19 19:22:52","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:22:52Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;991;7.51;72.35"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-77,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156907","2024-12-19 19:22:47","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:22:47Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;990;7.51;72.37"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-74,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156894","2024-12-19 19:22:42","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:22:42Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;991;7.53;72.42"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-75,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156876","2024-12-19 19:22:35","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:22:35Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;990;7.54;72.57"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-74,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156857","2024-12-19 19:22:30","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:22:30Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;990;7.56;72.61"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-76,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156773","2024-12-19 19:22:25","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:22:25Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;990;7.54;72.61"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-75,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156692","2024-12-19 19:22:20","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:22:20Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;990;7.56;72.72"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-74,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156679","2024-12-19 19:22:15","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:22:15Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;991;7.56;72.76"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-72,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156658","2024-12-19 19:22:03","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:22:03Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;991;7.56;72.80"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-76,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156584","2024-12-19 19:21:58","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:21:58Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;991;7.59;72.83"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-75,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156504","2024-12-19 19:21:53","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:21:53Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;991;7.58;72.89"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-76,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156488","2024-12-19 19:21:48","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:21:48Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;990;7.59;72.92"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-75,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156476","2024-12-19 19:21:43","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:21:42Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;990;7.60;72.97"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-77,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156455","2024-12-19 19:21:38","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:21:37Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;991;7.61;72.98"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-74,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156310","2024-12-19 19:21:31","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:21:30Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;990;7.62;72.99"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-76,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156298","2024-12-19 19:21:25","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:21:25Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;989;7.61;73.01"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-74,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156275","2024-12-19 19:21:20","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:21:20Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;990;7.61;73.06"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-77,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156186","2024-12-19 19:21:15","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:21:15Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;989;7.63;73.04"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-75,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156112","2024-12-19 19:21:10","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:21:10Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;989;7.64;73.04"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-76,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271156080","2024-12-19 19:21:03","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:21:03Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;990;7.61;73.09"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-78,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271155937","2024-12-19 19:20:58","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:20:58Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;990;7.65;73.11"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-75,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271155925","2024-12-19 19:20:53","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:20:53Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;991;7.63;73.12"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-75,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271155906","2024-12-19 19:20:48","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:20:48Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;990;7.63;73.10"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-75,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271155823","2024-12-19 19:20:43","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:20:43Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;990;7.65;73.10"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-75,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
"271155725","2024-12-19 19:20:31","/ttndata/senzory/wifi/co2/69","{""end_device_ids"":{""device_id"":""wifi-co2-69""},""received_at"":""2024-12-19T18:20:31Z"",""uplink_message"":{""decoded_payload"":{""sensor"":""wifi-co2"",""msg"":""69;990;7.63;73.12"",""format"":""string"",""is_wifi"":""1""},""rx_metadata"":[{""ssid"":""dcukemp"",""local_ip"":""192.168.37.177"",""mac_address"":""B0:B2:1C:5F:41:30"",""rssi"":-74,""location"":{""latitude"":50.6660547,""longitude"":14.0206322}}]}}"
