"id","time","topic","payload"
"271157246","2024-12-19 19:23:21","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE49A""},""correlation_ids"":[""gs:uplink:01JFG2HXK151WT9RM1ZHD6H6CE""],""received_at"":""2024-12-19T18:23:21.395600261Z"",""uplink_message"":{""session_key_id"":""AZPfLLlNA4KbP2UhbmmrBw=="",""f_port"":1,""f_cnt"":54,""frm_payload"":""MTU7MTA1MTs4LjU7Njc="",""decoded_payload"":{""format"":""string"",""msg"":""15;1051;8.5;67"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:23:21.141924Z"",""timestamp"":3679409388,""rssi"":-25,""channel_rssi"":-25,""snr"":7.75,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEOypvdoNGgsImcmRuwYQ+p2kWCDg847viuID"",""channel_index"":5,""received_at"":""2024-12-19T18:23:21.162787755Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867500000"",""timestamp"":3679409388,""time"":""2024-12-19T18:23:21.141924Z""},""received_at"":""2024-12-19T18:23:21.186270953Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271154596","2024-12-19 19:18:15","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE49A""},""correlation_ids"":[""gs:uplink:01JFG28JMADQVPH6Y3BZZMHBWK""],""received_at"":""2024-12-19T18:18:15.255046977Z"",""uplink_message"":{""session_key_id"":""AZPfLLlNA4KbP2UhbmmrBw=="",""f_port"":1,""f_cnt"":53,""frm_payload"":""MTU7MTA0ODs4Ljc7Njc="",""decoded_payload"":{""format"":""string"",""msg"":""15;1048;8.7;67"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:18:14.991052Z"",""timestamp"":3373264732,""rssi"":-23,""channel_rssi"":-23,""snr"":7.5,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQENzev8gMGgsI58aRuwYQ3K3pFyDg/vuxltkD"",""channel_index"":2,""received_at"":""2024-12-19T18:18:15.027118702Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868500000"",""timestamp"":3373264732,""time"":""2024-12-19T18:18:14.991052Z""},""received_at"":""2024-12-19T18:18:15.050955914Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271151858","2024-12-19 19:13:09","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE49A""},""correlation_ids"":[""gs:uplink:01JFG1Z7MMN9ACNRNREH2811D2""],""received_at"":""2024-12-19T18:13:09.092121741Z"",""uplink_message"":{""session_key_id"":""AZPfLLlNA4KbP2UhbmmrBw=="",""f_port"":1,""f_cnt"":52,""frm_payload"":""MTU7MTA1Njs4Ljc7Njc="",""decoded_payload"":{""format"":""string"",""msg"":""15;1056;8.7;67"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:13:08.850512Z"",""timestamp"":3067120108,""rssi"":-25,""channel_rssi"":-25,""snr"":10.25,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEOyTwrYLGgwItMSRuwYQ+JjZpQMg4IPr9KHQAw=="",""channel_index"":4,""received_at"":""2024-12-19T18:13:08.861726484Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867300000"",""timestamp"":3067120108,""time"":""2024-12-19T18:13:08.850512Z""},""received_at"":""2024-12-19T18:13:08.885744614Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271149425","2024-12-19 19:08:02","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE49A""},""correlation_ids"":[""gs:uplink:01JFG1NWNQT4X51HFQ8KCQ3TGR""],""received_at"":""2024-12-19T18:08:02.947826729Z"",""uplink_message"":{""session_key_id"":""AZPfLLlNA4KbP2UhbmmrBw=="",""f_port"":1,""f_cnt"":51,""frm_payload"":""MTU7MTA1MTs4Ljg7Njc="",""decoded_payload"":{""format"":""string"",""msg"":""15;1051;8.8;67"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:08:02.708909Z"",""timestamp"":2760975476,""rssi"":-21,""channel_rssi"":-21,""snr"":9.75,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEPTIxKQKGgwIgsKRuwYQ9Mqx4gIgoMrZt63HAw=="",""channel_index"":1,""received_at"":""2024-12-19T18:08:02.720568336Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868300000"",""timestamp"":2760975476,""time"":""2024-12-19T18:08:02.708909Z""},""received_at"":""2024-12-19T18:08:02.744292167Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271146502","2024-12-19 19:02:56","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE49A""},""correlation_ids"":[""gs:uplink:01JFG1CHQ7BZ6DX1XY7VTRW78A""],""received_at"":""2024-12-19T18:02:56.820037807Z"",""uplink_message"":{""session_key_id"":""AZPfLLlNA4KbP2UhbmmrBw=="",""f_port"":1,""f_cnt"":50,""frm_payload"":""MTU7MTA1NDs4Ljk7Njg="",""decoded_payload"":{""format"":""string"",""msg"":""15;1054;8.9;68"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:02:56.558805Z"",""timestamp"":2454830884,""rssi"":-24,""channel_rssi"":-24,""snr"":9.5,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEKT+xpIJGgwI0L+RuwYQhtiOpQIgoMnK+ri+Aw=="",""channel_index"":3,""received_at"":""2024-12-19T18:02:56.592070306Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867100000"",""timestamp"":2454830884,""time"":""2024-12-19T18:02:56.558805Z""},""received_at"":""2024-12-19T18:02:56.615691158Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271144112","2024-12-19 18:57:50","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE49A""},""correlation_ids"":[""gs:uplink:01JFG136QXGDHC1HQPE24SXX08""],""received_at"":""2024-12-19T17:57:50.670852282Z"",""uplink_message"":{""session_key_id"":""AZPfLLlNA4KbP2UhbmmrBw=="",""f_port"":1,""f_cnt"":49,""frm_payload"":""MTU7MTA0OTs4LjU7Njg="",""decoded_payload"":{""format"":""string"",""msg"":""15;1049;8.5;68"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T17:57:50.417174Z"",""timestamp"":2148686275,""rssi"":-25,""channel_rssi"":-25,""snr"":10.5,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEMOzyYAIGgwInr2RuwYQ/N722wEguMO6vcS1Aw=="",""received_at"":""2024-12-19T17:57:50.439112629Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868100000"",""timestamp"":2148686275,""time"":""2024-12-19T17:57:50.417174Z""},""received_at"":""2024-12-19T17:57:50.462599365Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271141128","2024-12-19 18:52:44","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE49A""},""correlation_ids"":[""gs:uplink:01JFG0SVS0DX1WE1915R8RF3A1""],""received_at"":""2024-12-19T17:52:44.524857435Z"",""uplink_message"":{""session_key_id"":""AZPfLLlNA4KbP2UhbmmrBw=="",""f_port"":1,""f_cnt"":48,""frm_payload"":""MTU7MTA1MDs3Ljc7Njc="",""decoded_payload"":{""format"":""string"",""msg"":""15;1050;7.7;67"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T17:52:44.276460Z"",""timestamp"":1842541468,""rssi"":-27,""channel_rssi"":-27,""snr"":10.75,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEJzny+4GGgwI7LqRuwYQ+Yi7mAEg4LKegNCsAw=="",""channel_index"":7,""received_at"":""2024-12-19T17:52:44.298871769Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867900000"",""timestamp"":1842541468,""time"":""2024-12-19T17:52:44.276460Z""},""received_at"":""2024-12-19T17:52:44.321149509Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271138267","2024-12-19 18:47:38","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE49A""},""correlation_ids"":[""gs:uplink:01JFG0GGSXZM6M0636ZSVPD8A9""],""received_at"":""2024-12-19T17:47:38.379172228Z"",""uplink_message"":{""session_key_id"":""AZPfLLlNA4KbP2UhbmmrBw=="",""f_port"":1,""f_cnt"":47,""frm_payload"":""MTU7MTA0Nzs3Ljc7Njc="",""decoded_payload"":{""format"":""string"",""msg"":""15;1047;7.7;67"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T17:47:38.125143Z"",""timestamp"":1536396436,""rssi"":-27,""channel_rssi"":-27,""snr"":8,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEJSZztwFGgsIuriRuwYQv7ysUiCgxPTC26MD"",""channel_index"":2,""received_at"":""2024-12-19T17:47:38.151714339Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868500000"",""timestamp"":1536396436,""time"":""2024-12-19T17:47:38.125143Z""},""received_at"":""2024-12-19T17:47:38.173583298Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271135782","2024-12-19 18:42:32","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE49A""},""correlation_ids"":[""gs:uplink:01JFG075TZ0YXVV95HZZWBV2M8""],""received_at"":""2024-12-19T17:42:32.236499549Z"",""uplink_message"":{""session_key_id"":""AZPfLLlNA4KbP2UhbmmrBw=="",""f_port"":1,""f_cnt"":46,""frm_payload"":""MTU7MTA1MTs3Ljg7Njc="",""decoded_payload"":{""format"":""string"",""msg"":""15;1051;7.8;67"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T17:42:31.984031Z"",""timestamp"":1230251436,""rssi"":-26,""channel_rssi"":-26,""snr"":9.75,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEKzL0MoEGgsIiLaRuwYQ9LnzDiDgz8yF55oD"",""channel_index"":6,""received_at"":""2024-12-19T17:42:32.009778317Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867700000"",""timestamp"":1230251436,""time"":""2024-12-19T17:42:31.984031Z""},""received_at"":""2024-12-19T17:42:32.032546912Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271132900","2024-12-19 18:37:26","/ttndata/eui-70b3d57ed0064636-co-15","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0064636-co-15"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0064636"",""join_eui"":""0000000000000000"",""dev_addr"":""260BE49A""},""correlation_ids"":[""gs:uplink:01JFFZXTVGTPTQNGJKBYXQVQ2G""],""received_at"":""2024-12-19T17:37:26.076942774Z"",""uplink_message"":{""session_key_id"":""AZPfLLlNA4KbP2UhbmmrBw=="",""f_port"":1,""f_cnt"":45,""frm_payload"":""MTU7MTA1MTs3Ljk7Njc="",""decoded_payload"":{""format"":""string"",""msg"":""15;1051;7.9;67"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T17:37:25.842645Z"",""timestamp"":924106476,""rssi"":-27,""channel_rssi"":-27,""snr"":10,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEOz90rgDGgwI1bORuwYQmYvonwMg4JOnyPKRAw=="",""channel_index"":1,""received_at"":""2024-12-19T17:37:25.849178004Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868300000"",""timestamp"":924106476,""time"":""2024-12-19T17:37:25.842645Z""},""received_at"":""2024-12-19T17:37:25.873048175Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
