"id","time","topic","payload"
"271155271","2024-12-19 19:19:30","/ttndata/eui-70b3d57ed0062098-co-02","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0062098-co-02"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0062098"",""join_eui"":""0000000000000000"",""dev_addr"":""260BCCBB""},""correlation_ids"":[""gs:uplink:01JFG2AVX1PJ3HWGY0KTKWTM19""],""received_at"":""2024-12-19T18:19:30.286000999Z"",""uplink_message"":{""session_key_id"":""AZPfLetNJDHSYxujWBNAsA=="",""f_port"":1,""f_cnt"":53,""frm_payload"":""MjsxMDIzOzcuNzs2OA=="",""decoded_payload"":{""format"":""string"",""msg"":""2;1023;7.7;68"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:19:30.054892Z"",""timestamp"":3448319412,""rssi"":-29,""channel_rssi"":-29,""snr"":9.75,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQELTbpOwMGgsIsseRuwYQ+rXJJiCgjur+rdsD"",""channel_index"":1,""received_at"":""2024-12-19T18:19:30.058487792Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868300000"",""timestamp"":3448319412,""time"":""2024-12-19T18:19:30.054892Z""},""received_at"":""2024-12-19T18:19:30.082109887Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271152480","2024-12-19 19:14:24","/ttndata/eui-70b3d57ed0062098-co-02","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0062098-co-02"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0062098"",""join_eui"":""0000000000000000"",""dev_addr"":""260BCCBB""},""correlation_ids"":[""gs:uplink:01JFG21GZ15YHT3YN3YVYCSV8X""],""received_at"":""2024-12-19T18:14:24.176155630Z"",""uplink_message"":{""session_key_id"":""AZPfLetNJDHSYxujWBNAsA=="",""f_port"":1,""f_cnt"":52,""frm_payload"":""MjsxMDQ4OzcuNzs2OA=="",""decoded_payload"":{""format"":""string"",""msg"":""2;1048;7.7;68"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:14:23.916249Z"",""timestamp"":3142186460,""rssi"":-26,""channel_rssi"":-26,""snr"":8.75,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQENzrp9oLGgwI/8SRuwYQuf6MzgMg4Mahx7nSAw=="",""channel_index"":4,""received_at"":""2024-12-19T18:14:23.946255051Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867300000"",""timestamp"":3142186460,""time"":""2024-12-19T18:14:23.916249Z""},""received_at"":""2024-12-19T18:14:23.970226810Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271150026","2024-12-19 19:09:18","/ttndata/eui-70b3d57ed0062098-co-02","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0062098-co-02"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0062098"",""join_eui"":""0000000000000000"",""dev_addr"":""260BCCBB""},""correlation_ids"":[""gs:uplink:01JFG1R5ZYFM6P2HVQGR73A9T3""],""received_at"":""2024-12-19T18:09:18.027339266Z"",""uplink_message"":{""session_key_id"":""AZPfLetNJDHSYxujWBNAsA=="",""f_port"":1,""f_cnt"":51,""frm_payload"":""Mjs5ODQ7Ny44OzY4"",""decoded_payload"":{""format"":""string"",""msg"":""2;984;7.8;68"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:09:17.786030Z"",""timestamp"":2836053491,""rssi"":-29,""channel_rssi"":-29,""snr"":9.5,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEPP7qsgKGgwIzcKRuwYQlvf9hwMguPrXj8XJAw=="",""received_at"":""2024-12-19T18:09:17.799413810Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868100000"",""timestamp"":2836053491,""time"":""2024-12-19T18:09:17.786030Z""},""received_at"":""2024-12-19T18:09:17.823480396Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271147279","2024-12-19 19:04:11","/ttndata/eui-70b3d57ed0062098-co-02","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0062098-co-02"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0062098"",""join_eui"":""0000000000000000"",""dev_addr"":""260BCCBB""},""correlation_ids"":[""gs:uplink:01JFG1EV1DFBRJCE6F6YQDC1FV""],""received_at"":""2024-12-19T18:04:11.901548808Z"",""uplink_message"":{""session_key_id"":""AZPfLetNJDHSYxujWBNAsA=="",""f_port"":1,""f_cnt"":50,""frm_payload"":""MjsxMDUwOzguMDs2OA=="",""decoded_payload"":{""format"":""string"",""msg"":""2;1050;8.0;68"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T18:04:11.649829Z"",""timestamp"":2529920532,""rssi"":-29,""channel_rssi"":-29,""snr"":9.25,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEJSMrrYJGgwIm8CRuwYQwajLygIgoPyO2NDAAw=="",""channel_index"":3,""received_at"":""2024-12-19T18:04:11.670658269Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867100000"",""timestamp"":2529920532,""time"":""2024-12-19T18:04:11.649829Z""},""received_at"":""2024-12-19T18:04:11.695172771Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271144578","2024-12-19 18:59:05","/ttndata/eui-70b3d57ed0062098-co-02","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0062098-co-02"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0062098"",""join_eui"":""0000000000000000"",""dev_addr"":""260BCCBB""},""correlation_ids"":[""gs:uplink:01JFG15G2P43XNEJQ8DZ84K0FG""],""received_at"":""2024-12-19T17:59:05.782012853Z"",""uplink_message"":{""session_key_id"":""AZPfLetNJDHSYxujWBNAsA=="",""f_port"":1,""f_cnt"":49,""frm_payload"":""MjsxMDU3OzguMDs2OA=="",""decoded_payload"":{""format"":""string"",""msg"":""2;1057;8.0;68"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T17:59:05.518149Z"",""timestamp"":2223787564,""rssi"":-31,""channel_rssi"":-31,""snr"":7.5,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEKycsaQIGgwI6b2RuwYQ5O2BigIg4LfFoNy3Aw=="",""channel_index"":2,""received_at"":""2024-12-19T17:59:05.534908593Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868500000"",""timestamp"":2223787564,""time"":""2024-12-19T17:59:05.518149Z""},""received_at"":""2024-12-19T17:59:05.573479548Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271141772","2024-12-19 18:53:59","/ttndata/eui-70b3d57ed0062098-co-02","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0062098-co-02"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0062098"",""join_eui"":""0000000000000000"",""dev_addr"":""260BCCBB""},""correlation_ids"":[""gs:uplink:01JFG0W547THBVSPZV4BE688TS""],""received_at"":""2024-12-19T17:53:59.639776684Z"",""uplink_message"":{""session_key_id"":""AZPfLetNJDHSYxujWBNAsA=="",""f_port"":1,""f_cnt"":48,""frm_payload"":""MjsxMDMzOzcuMTs2Nw=="",""decoded_payload"":{""format"":""string"",""msg"":""2;1033;7.1;67"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T17:53:59.388801Z"",""timestamp"":1917654628,""rssi"":-29,""channel_rssi"":-29,""snr"":9.25,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEOSstJIHGgwIt7uRuwYQzpixzQEgoO396OeuAw=="",""channel_index"":7,""received_at"":""2024-12-19T17:53:59.409741362Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867900000"",""timestamp"":1917654628,""time"":""2024-12-19T17:53:59.388801Z""},""received_at"":""2024-12-19T17:53:59.431947217Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271139112","2024-12-19 18:48:53","/ttndata/eui-70b3d57ed0062098-co-02","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0062098-co-02"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0062098"",""join_eui"":""0000000000000000"",""dev_addr"":""260BCCBB""},""correlation_ids"":[""gs:uplink:01JFG0JT5SA5HPVX60K78PZP0X""],""received_at"":""2024-12-19T17:48:53.513638779Z"",""uplink_message"":{""session_key_id"":""AZPfLetNJDHSYxujWBNAsA=="",""f_port"":1,""f_cnt"":47,""frm_payload"":""MjsxMTE4OzYuNzs2Nw=="",""decoded_payload"":{""format"":""string"",""msg"":""2;1118;6.7;67"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T17:48:53.249980Z"",""timestamp"":1611521844,""rssi"":-27,""channel_rssi"":-27,""snr"":9.5,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQELS+t4AGGgwIhbmRuwYQko7LkQEgoMa/sfOlAw=="",""channel_index"":1,""received_at"":""2024-12-19T17:48:53.284336886Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868300000"",""timestamp"":1611521844,""time"":""2024-12-19T17:48:53.249980Z""},""received_at"":""2024-12-19T17:48:53.306329259Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271136355","2024-12-19 18:43:48","/ttndata/eui-70b3d57ed0062098-co-02","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0062098-co-02"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0062098"",""join_eui"":""0000000000000000"",""dev_addr"":""260BCCBB""},""correlation_ids"":[""gs:uplink:01JFG09G74B56N7V7X3ABK3FPQ""],""received_at"":""2024-12-19T17:43:48.403613078Z"",""uplink_message"":{""session_key_id"":""AZPfLetNJDHSYxujWBNAsA=="",""f_port"":1,""f_cnt"":46,""frm_payload"":""MjsxMDY3OzYuODs2Nw=="",""decoded_payload"":{""format"":""string"",""msg"":""2;1067;6.8;67"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T17:43:48.160757Z"",""timestamp"":1306429076,""rssi"":-26,""channel_rssi"":-26,""snr"":9.25,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEJSN+u4EGgsI1LaRuwYQxdXEXSCg5Pbpgp0D"",""channel_index"":6,""received_at"":""2024-12-19T17:43:48.174686814Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867700000"",""timestamp"":1306429076,""time"":""2024-12-19T17:43:48.160757Z""},""received_at"":""2024-12-19T17:43:48.196956386Z"",""consumed_airtime"":""0.066816s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271133711","2024-12-19 18:38:43","/ttndata/eui-70b3d57ed0062098-co-02","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0062098-co-02"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0062098"",""join_eui"":""0000000000000000"",""dev_addr"":""260BCCBB""},""correlation_ids"":[""gs:uplink:01JFG0068VEZK88DW3KNMX2K0E""],""received_at"":""2024-12-19T17:38:43.305738682Z"",""uplink_message"":{""session_key_id"":""AZPfLetNJDHSYxujWBNAsA=="",""f_port"":1,""f_cnt"":45,""frm_payload"":""MjsxMDQwOzYuOTs2Nw=="",""decoded_payload"":{""format"":""string"",""msg"":""2;1040;6.9;67"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T17:38:43.060271Z"",""timestamp"":1001325019,""rssi"":-27,""channel_rssi"":-27,""snr"":9.5,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQENuDvN0DGgsIo7SRuwYQhvaNLyD4/vyckpQD"",""received_at"":""2024-12-19T17:38:43.075948801Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""868100000"",""timestamp"":1001325019,""time"":""2024-12-19T17:38:43.060271Z""},""received_at"":""2024-12-19T17:38:43.100088986Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
"271130645","2024-12-19 18:33:37","/ttndata/eui-70b3d57ed0062098-co-02","{""end_device_ids"":{""device_id"":""eui-70b3d57ed0062098-co-02"",""application_ids"":{""application_id"":""test-provozu-aplikace""},""dev_eui"":""70B3D57ED0062098"",""join_eui"":""0000000000000000"",""dev_addr"":""260BCCBB""},""correlation_ids"":[""gs:uplink:01JFFZPVA4XN32ZFJ58XDDP99G""],""received_at"":""2024-12-19T17:33:37.168283514Z"",""uplink_message"":{""session_key_id"":""AZPfLetNJDHSYxujWBNAsA=="",""f_port"":1,""f_cnt"":44,""frm_payload"":""Mjs5ODA7Ny4wOzY3"",""decoded_payload"":{""format"":""string"",""msg"":""2;980;7.0;67"",""sensor"":""CO2""},""rx_metadata"":[{""gateway_ids"":{""gateway_id"":""eui-50303541790d4750"",""eui"":""50303541790D4750""},""time"":""2024-12-19T17:33:36.920820Z"",""timestamp"":695192188,""rssi"":-31,""channel_rssi"":-31,""snr"":6,""uplink_token"":""CiIKIAoUZXVpLTUwMzAzNTQxNzkwZDQ3NTASCFAwNUF5DUdQEPyUv8sCGgwI8LGRuwYQhKW9ywMg4Oi75Z2LAw=="",""channel_index"":5,""received_at"":""2024-12-19T17:33:36.940808153Z""}],""settings"":{""data_rate"":{""lora"":{""bandwidth"":125000,""spreading_factor"":7,""coding_rate"":""4/5""}},""frequency"":""867500000"",""timestamp"":695192188,""time"":""2024-12-19T17:33:36.920820Z""},""received_at"":""2024-12-19T17:33:36.964857261Z"",""consumed_airtime"":""0.061696s"",""network_ids"":{""net_id"":""000013"",""ns_id"":""EC656E0000000181"",""tenant_id"":""ttn"",""cluster_id"":""eu1"",""cluster_address"":""eu1.cloud.thethings.network""}}}"
